County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1:15pm,Year-round,YR,N,Y,N,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,N,Y,N,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,N,Y,N,Y,42.65998,-73.77276,"(42.65998, -73.77276)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,N,Y,N,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Allegany,Backporch Produce,10260 Fairview Rd Farmersville Station,10260 Fairview Rd,Farmersville Station,NY,14060,Cheri Stresing,7169468308,http://www.backporchproduce.com,Daily  9am-8pm,Year-round,YR,N,N,N,Y,42.44791997,-78.29298113,"(42.44791997, -78.29298113)"
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,,"M/W 2-6, T 3-7, F 1-6, Sat 12-6  Sun 1-5",May 15-October 31,P/M,Y,Y,N,Y,42.48057,-78.09042,"(42.48057, -78.09042)"
Bronx,Healthy Choice Farmers' Market Farm Stand,1434 Longfellow Ave. Bronx,1434 Longfellow Ave.,Bronx,NY,10459,Sandy Helms,7185893060,,Thu  10:30am-1:30pm,April 7-June 24; July 18-August 8,P/M,Y,N,N,Y,40.830746,-73.886882,"(40.830746, -73.886882)"
Bronx,Lincoln Hospital Fri Greenmarket,234 E 149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-3pm,Year-round,YR,N,Y,N,Y,40.8174,-73.92276,"(40.8174, -73.92276)"
Bronx,Norwood GrowNYC Farm Stand,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8:30am-4pm,Year-round,YR,N,Y,N,Y,40.88223,-73.88048,"(40.88223, -73.88048)"
Bronx,Riverdale Y Sunday Farmers' Market,4545 Independence Ave. Bronx,649 W 237th St,Bronx,NY,10463,Shira Silverman,7188771270,,Sun 9am-2pm,April 3-December 18,P/M/X,Y,Y,N,Y,40.888442,-73.912784,"(40.888442, -73.912784)"
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amanda Poodiack,6077728953,http://www.broomecountyregionalmarket.com,Saturday  9am-1pm,Year-round,YR,N,Y,Y,Y,42.12921,-75.90609,"(42.12921, -75.90609)"
Cattaraugus,Canticle Farm Market,3809 Old State Road Allegany,3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714,http://www.canticlefarm.org,"Tue/Fri 12pm-6pm, Dec-June: Tue only",Year-round,YR,Y,Y,N,Y,42.09601,-78.50618,"(42.09601, -78.50618)"
Cattaraugus,Enchanted Mountains Farmers Market,1900 Constituion Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Fri 2pm-6pm,May 27-October 28,P/M,Y,Y,N,Y,42.08304,-78.45343,"(42.08304, -78.45343)"
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Shanna Miller,7163722521,,"Mon-Sat  9am-6pm, Sun  9am-5pm",April 15-December 24,P/M/X,Y,Y,N,Y,42.071439,-78.39814,"(42.071439, -78.39814)"
Cattaraugus,South Dayton Farmers' Market,Railroad St.,Railroad Street,South Dayton,NY,14138,Karen Strickland,7166729004,,Sat 9am-1pm,May 7-October 29,P/M,Y,Y,N,Y,42.3609,-79.04925,"(42.3609, -79.04925)"
Cayuga,Centurion Farm Stand,287 Creek Road Locke,287 Creek Road,Locke,NY,13092,Jeff Saeli,6075925810,,"Thu-Sat 9am-7pm, Mon-Wed By Appt",May 1-November 30,P/M,Y,N,N,Y,42.6309,-76.45455,"(42.6309, -76.45455)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Daily 9am-6:30pm, Nov-May 10am-5pm",Year-round,YR,N,Y,N,Y,42.14495,-79.10996,"(42.14495, -79.10996)"
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9 Church St.",11 Church St,Fredonia,NY,14063,Anneliese Bruegel,7166802104,,Sat 9am-1pm,Year-round,YR,Y,Y,N,Y,42.44064,-79.33235,"(42.44064, -79.33235)"
Chautauqua,Fredonia WINTER Farmers' Market,329 East Main St. (Rt 20) Masonic Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Rosemary Joy,7164107313,http://www.fredoniafarmersmarket.org,Saturday 10am-1pm,"Nov 6-May 14, 2022",M/X/W/P,N,Y,Y,Y,42.44764,-79.315,"(42.44764, -79.315)"
Chautauqua,Westfield Farmers and Artisans Market,Moore Park Rt 20 and Rt 394,Rt 20 and Rt 394,Westfield,NY,14787,Kathleen Mayer,7167530367,http://www.westfieldny.com/farmers-market,Sat 9am-2pm,May 28-October 29,P/M,Y,N,N,Y,42.32203,-79.57812,"(42.32203, -79.57812)"
Chenango,Community Farmers' Market,East Park Norwich,East Park Place,Norwich,NY,13815,Carol Eichler,6073347674,,Fri/Sat 9am-3pm,May 1-November 30,P/M,Y,N,N,Y,42.53184,-75.5229,"(42.53184, -75.5229)"
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd.  Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquarterorganicfarm.com,"Daily  12pm-6pm, Closed  Wed & Sat",Year-round,YR,N,Y,N,Y,42.60058,-75.59991,"(42.60058, -75.59991)"
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Fri 9am-5pm, Sat 9am-4pm Sun 10am-2pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,"(42.54525, -75.52498)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Fri  9am-5pm, Sunday  9am-2pm",Year-round,YR,N,N,N,Y,42.62427,-75.59152,"(42.62427, -75.59152)"
Clinton,Plattsburgh Farmers' and Craft Sat Market,Green St.,Broad St and Durkee St,Plattsburgh,NY,12901,Julie Baughn,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Sat 9am-3pm,May 7-October 8,P/M,Y,N,N,Y,44.69535,-73.45226,"(44.69535, -73.45226)"
Clinton,Prays Family Farm Stand-Plattsburgh,605 State Route 3 Plattsburgh,605 State Route 3,Plattsburgh,NY,12944,Maureen Pray,5185695307,,Daily  8:30am-6pm,Year-round,YR,N,N,N,Y,44.6948,-73.5069,"(44.6948, -73.5069)"
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Road Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,Year-round,YR,N,N,N,Y,44.5786,-73.49804,"(44.5786, -73.49804)"
Columbia,City of Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts.,Columbia St and North 6th St,Hudson,NY,12534,Brandon Bjerke,5183003496,http://www.hudsonfarmersmarketny.com,Sat 9am-1pm,April 23-November 19,P/M,Y,Y,N,Y,42.24866,-73.78369,"(42.24866, -73.78369)"
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 22,9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Sat 9am-1pm,May 21-November 19,P/M,Y,Y,N,Y,42.17077,-73.51771,"(42.17077, -73.51771)"
Columbia,Germantown Farmers Market,50 Palatine Park Road Germantown,50 Palatine Park Road,Germantown,NY,12526,Lauren Williams,5185675691,,Saturday 10am-1pm,May 28October 29,P/M,N,N,N,Y,42.135,-73.88551,"(42.135, -73.88551)"
Cortland,Dave's Veggies Farm Market,5178 NYS Route 41 Homer,5178 NY-41,Homer,NY,13077,David Root,6077494955,,Daily 12am-6pm,May-October,P/M,Y,Y,N,Y,42.659118,-76.203042,"(42.659118, -76.203042)"
Delaware,Catskill Cattle Farm Stand,96 Laurel Bank Ave  Deposit,96 Laurel Bank Ave,Deposit,NY,13754,Lonny Schaefer,6074675762,http://www.catskillcattle.com,"Wed-Sat 11am-6pm, Sun 12pm-4pm",Year-round,YR,Y,N,N,Y,42.06673,-75.40725,"(42.06673, -75.40725)"
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Tanya Moyer,5186734242,,Saturday  9am-1pm,May 14-November 26,P/M,N,N,N,Y,42.20103,-74.59909,"(42.20103, -74.59909)"
Dutchess,Beacon WINTER Farmers' Market,"223 Main St, Beacpm",413 Main Street,Beacon,NY,12508,Paloma Wake,5108514865,http://www.beaconfarmersmarket.org,Sunday  10am-2pm,December 6-April 24,X/W/P,N,Y,Y,Y,41.50321,-73.96674,"(41.50321, -73.96674)"
Dutchess,Millerton Farmers' Market,6 Dutchess Ave. Millerton Methodist Church,6 Dutchess Ave.,Millerton,NY,12546,Christine Sergent,5187894259,,"2nd & 4th Saturdays  10am-2pm, Winter January-April, CLOSED Christmas, New Year's Day",Year-round,YR,N,Y,N,Y,41.9543,-73.50977,"(41.9543, -73.50977)"
Dutchess,Obercreek Farm Stand,81 New Hamburg Road Wappingers Falls,87 New Hamburg Road,Wappingers Falls,NY,12590,Nina Doig,8452980888,http://www.obercreekfarm.com,"Wed-Sat 11am-6pm, Sun 11am-5pm",Year-round,YR,Y,N,N,Y,41.58378,-73.93705,"(41.58378, -73.93705)"
Dutchess,Poughkeepsie Plenty Fresh Market Farm Stand,29 N Hamilton St.  Family Partnership Center  Poughkeepsie,29 N Hamilton Street,Poughkeepsie,NY,12601,Stacy Dedring,8454543792,http://www.dutchessoutreach.org,"Tue-Thu 2p-5p, Fri 2pm-4pm",May 1-November 30,P/M,Y,Y,N,Y,41.70459,-73.92197,"(41.70459, -73.92197)"
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E. Market St.,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sun 10am-2pm,May 1-December 18,P/M/X,Y,Y,N,Y,41.92704,-73.91027,"(41.92704, -73.91027)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Zachary Elwood,8456254798,http://www.zfarmsorganic.com,"Daily 10am-6pm, closed Wednesday",Year-round,YR,N,Y,N,Y,41.75631,-73.55278,"(41.75631, -73.55278)"
Erie,Broadway Farmers' Market,999 Broadway Buffalo parking entrances on Gibson or Lombard St.,999 Broadway,Buffalo,NY,14212,Kathleen Peterson,7168930705,,Mon-Sat  8am-5pm,Year-round,YR,N,Y,N,Y,42.893162,-78.837667,"(42.893162, -78.837667)"
Erie,Clinton Bailey Sat Farmers' Market,"1443-1517 Clinton St. Buffalo, corner of Clinton & Bailey Sts.",Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,"Saturday  4am-5pm, Nov-Apr  6am-12pm",Year-round,YR,N,Y,N,Y,42.87205,-78.81998,"(42.87205, -78.81998)"
Erie,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,350 Main St. outside btwn Court & Church Streets,Buffalo,NY,14203,Caeley Robinson,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu 10am-2:30pm,May 12-October 20,P/M,Y,Y,N,Y,42.8844,-78.8754,"(42.8844, -78.8754)"
Erie,East Aurora Saturday Farmers' Market,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853439491,http://www.eastaurorafarmersmarket.com,Sat 7am-1pm,May 7-November 19,P/M,Y,N,N,Y,42.76593,-78.63413,"(42.76593, -78.63413)"
Erie,East Aurora Wednesday Farmers' Market,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853439491,http://www.eastaurorafarmersmarket.com,Wed 7am-1pm,May 11-November 23,P/M,Y,N,N,Y,42.76593,-78.63413,"(42.76593, -78.63413)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,James Chichocki,7168810707,http://www.elmwoodmarket.org,Sat 8am-1pm,May 7-November 26,P/M,Y,Y,N,Y,42.92371,-78.87702,"(42.92371, -78.87702)"
Erie,Hamburg Farmers' Market,45 Church St.,45 Church St.,Hamburg,NY,14075,Jamie Decker,7166497917,,Sat 7:30am-1pm,May 7-October 29,P/M,Y,N,N,Y,42.71677,-78.82994,"(42.71677, -78.82994)"
Erie,Holland Farmers' Market,"25 North Main St.  Holland, Municipal lot Next to Fire Dept",25 North Main St.,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sun 8:30am-1pm,May 1-October 30,P/M,Y,N,N,Y,42.64149,-78.54248,"(42.64149, -78.54248)"
Erie,Springville Farmers' Market,Gentner Auction 341 W. Main St. (Rt. 39),341 West Main St,Springville,NY,14141,Donna Goldhawk,7165600198,,Wednesday  7am-3pm,Year-round,YR,N,Y,N,Y,42.50906,-78.67989,"(42.50906, -78.67989)"
Essex,Drinkwine Produce Farm Stand,Route 9N & 22 Street Rd.  Ticonderoga,Route 9N and 22 Street Road,Ticonderoga,NY,12883,Henry Drinkwine,5185856346,,"Mon-Sat 10am-6pm, Sun 11am-6pm",May 15-October 31,P/M,Y,N,N,Y,43.88032,-73.44955,"(43.88032, -73.44955)"
Essex,Mountain Weavers' Farm Store,4322 Main Street Port Henry,4322 Main Street,Port Henry,NY,12974,Andrea Connor,5185463355,http://www.mountainweaversfarmstore.com,Monday-Friday  10am-4:30pm,Year-round,YR,N,Y,N,Y,44.04849,-73.45958,"(44.04849, -73.45958)"
Franklin,Franklin WINTER Farmers Market,Franklin Railroad Museum and Franklin Community Center,574 Main St.,Franklin,NY,13775,Brian Brock,5187060612,,Second Sundays 10am-1pm,December 12-April 1,X/W/P,N,N,N,Y,42.3418,-75.16374,"(42.3418, -75.16374)"
Franklin,Malone Farmers' Market,27 Airport Rd. (Rte 11)  Pavilion at Marcy Airfield,27 Airport Road,Malone,NY,12953,Dick Crawford,5185634777,http://www.adirondackfarmersmarket.com,Wed 12pm-4:30pm,May 25-October 5,P/M,Y,N,N,Y,44.84733,-74.32773,"(44.84733, -74.32773)"
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat 8:30am-12:30pm,May 7-October 15,P/M,Y,N,N,Y,43.052604,-74.345796,"(43.052604, -74.345796)"
Greene,Black Horse Farms Farm Stand,10094 Rt. 9W Athens,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Daily 9am-6pm,Year-round,YR,Y,Y,N,Y,42.30634,-73.85043,"(42.30634, -73.85043)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Samantha Metz,8622001935,http://www.fromermarketgardens.com,"Sat 9am-2pm, Wed 2pm-6pm",Year-round,YR,Y,Y,N,Y,42.19546,-74.13889,"(42.19546, -74.13889)"
Greene,Stoneledge Farm Stand,145 Garcia Lane Leeds,145 Garcia Lane,Leeds,NY,12451,Candice Kavakos,5188199966,http://www.stoneledge.farm,Sat/Sun  9am-4pm,May 14-October 9,P/M,N,N,N,Y,42.27878,-73.95216,"(42.27878, -73.95216)"
Herkimer,Juliano's Farm Market,2365 State Route 5 Utica,2365 State Route 5,Utica,NY,13502,Deborah E Juliano,3157238778,,"Mon-Sat 7:30am-6pm, Sun 7:30am-4pm",April 21-October 31,P/M,Y,Y,N,Y,43.09608,-75.14626,"(43.09608, -75.14626)"
Herkimer,Little Falls Farmers' & Flea Market,M&T Bank parking lot  Albany St.,Albany Street and 2nd Street,Little Falls,NY,13365,Mary Davis,3158662619,,Saturday  8am-12pm,May 7-October 29,P/M,N,N,N,Y,43.04284,-74.85828,"(43.04284, -74.85828)"
Herkimer,MAWS Farm Stand,7342 Main Street Newport,7342 Main Street,Newport,NY,13416,Michael Skwara,3159850088,http://www.mawsfarm.com,Daily  9am-6pm,Year-round,YR,N,Y,N,Y,43.18096,-75.01054,"(43.18096, -75.01054)"
Herkimer,Northshire Farm Farm Stand,1067 US Highway 20 West Winfield,1067 US Highway 20,West Winfield,NY,13491,S. James Grillo,3157256226,http://www.northshirefarmstore.com,Daily 8am-7pm,Year-round,YR,Y,N,N,Y,42.89471,-75.14503,"(42.89471, -75.14503)"
Jefferson,Carthage Farmers' Market,"Farmers Market Pavilion , 150 Riverside Dr. (behind Carthage Rescue Squad)",150 Riverside Drive,Carthage,NY,13619,Rebecca Wallen,3154933590,http://www.carthageny.com,Fri 1pm-6pm,May 27-October 14,P/M,Y,N,N,Y,43.97714,-75.61247,"(43.97714, -75.61247)"
Jefferson,Cross Island Farms Farm Stand,"44301 Cross Island Rd, Wellesley Island",44301 Cross Island Road,Wellesley Island,NY,13640,Dani Baker,3154823663,http://www.crossislandfarms.com,Daily 7am-8pm,Year-round,YR,Y,N,N,Y,44.30891,-76.00675,"(44.30891, -76.00675)"
Jefferson,Tickle the Earth Farm Stand,13501 County Route 155  Adams Center,13501 County Route 155,Adams Center,NY,13601,Almeda Grandjean,3155835660,,Daily 8am-9pm,Apr 23-Octobe 31,P/M,Y,Y,N,Y,43.88524,-75.94957,"(43.88524, -75.94957)"
Kings,6th Ave. Sunset Park Greenmarket,602 44th St. at 6th Ave.,44th Street at 6th Avenue,Brooklyn,NY,11220,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,Year-round,YR,N,Y,N,Y,40.64711,-74.00463,"(40.64711, -74.00463)"
Kings,Bartel-Pritchard Square Sunday Greenmarket,205 Prospect Park at West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  9am-3pm,Year-round,YR,N,Y,N,Y,40.66094,-73.97979,"(40.66094, -73.97979)"
Kings,Bartel-Pritchard Square Wed Greenmarket,205 Prospect Park at West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wednesday 8am-3pm,Year-round,YR,N,Y,N,Y,40.6616,-73.97939,"(40.6616, -73.97939)"
Kings,Brooklyn Borough Hall Saturday Greenmarket,211 Montague St. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday 8am-4pm,Year-round,YR,N,Y,N,Y,40.69374,-73.99043,"(40.69374, -73.99043)"
Kings,Brooklyn Borough Hall Tuesday Greenmarket,211 Montague St. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tuesday  8am-4pm,Year-round,YR,N,Y,N,Y,40.69374,-73.99043,"(40.69374, -73.99043)"
Kings,Bushwick Hope Ball Field Farmers' Market,Knickerbocker Ave btwn Menahan St & Grove St.,Knickerbocker Ave,Bushwick,NY,10301,Bianca Bockman,7188210254,http://www.riseboro.org,Wed 9am-3pm,May 18-November 23,P/M,Y,Y,N,Y,40.70117,-73.92252,"(40.70117, -73.92252)"
Kings,Bushwick Maria Hernandez Pk Farmers' Market,Knickerbocker Ave @ Starr & Suydam,Knickerbocker Avenue,Brooklyn,NY,11206,Bianca Bockman,7188210254,http://www.riseboro.org,Sat 9am-3pm,May 14-November 26,P/M,Y,Y,N,Y,40.70257,-73.92497,"(40.70257, -73.92497)"
Kings,Carroll Gardens Greenmarket,330 Carroll St. btwn Smith & Court Sts.,Carroll St and Court St,Brooklyn,NY,11231,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sunday  8am-2pm,Year-round,YR,N,Y,N,Y,40.68106,-73.99653,"(40.68106, -73.99653)"
Kings,Cortelyou Greenmarket,Cortelyou Rd. btwn Argyle & Rugby Rds.,1399 Cortelyou Rd,Brooklyn,NY,11226,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Sunday  8am-2pm,Year-round,YR,N,Y,N,Y,40.64044,-73.96617,"(40.64044, -73.96617)"
Kings,Fort Greene Park Greenmarket,Washington Park btwn Dekalb Ave. & Willoughby St.,Washington Park and DeKalb Ave,Brooklyn,NY,11205,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Saturday  8am-3pm,Year-round,YR,N,Y,N,Y,40.68962,-73.97313,"(40.68962, -73.97313)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave. & Prospect Park West,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,N,Y,N,Y,40.67412,-73.9695,"(40.67412, -73.9695)"
Kings,McCarren Park Greenmarket,228 N. 12th St at Union Ave,N 12th Street and Driggs Ave,Brooklyn,NY,11222,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Saturday  8am-2pm,Year-round,YR,N,Y,N,Y,40.72046,-73.95269,"(40.72046, -73.95269)"
Kings,McGolrick Park Farmers' Market,"130 Russell St. Brooklyn, Center Pavillion in McGolrick Park",130 Russell Street,Brooklyn,NY,11222,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sun 10am-3pm,May 15-December 18,P/M/X,Y,Y,N,Y,40.72483,-73.94432,"(40.72483, -73.94432)"
Kings,Park Slope Farmers' Market,289 4th Street at 5th Ave.  near PS 51 Brooklyn,289 4th Street,Brooklyn,NY,11215,Dacotah Rousseau,9149234837,http://www.downtoearthmarkets.com,Sun 10am-3pm,May 15-December 18,P/M/X,Y,Y,N,Y,40.6722,-73.98379,"(40.6722, -73.98379)"
Kings,Seeds in the Middle Farm Stand-Brownsville,213 Osborn St Brooklyn,213 Osborn St,Brooklyn,NY,11212,Nancie Katz,9176973745,http://seedsinthemiddle.org,Friday 2pm-5pm,Year-round,YR,N,Y,N,Y,40.66699,-73.90811,"(40.66699, -73.90811)"
Kings,Seeds in the Middle Farm Stand Ocean Hill,2163 Dean Street,2163 Dean Street,Brooklyn,NY,11233,Nancie Katz,9176973745,http://seedsinthemiddle.org,Wednesday 12:30pm-3:00pm,Year-round,YR,N,Y,N,Y,40.67524,-73.91536,"(40.67524, -73.91536)"
Kings,Seeds in the Middle Farm Stand-Parkside Plaza,"Parkside Plaza, Brooklyn NY",Ocean Avenue at Parkside Avenue,Brooklyn,NY,11226,Nancie Katz,9176973745,http://seedsinthemiddle.org,Sunday 10am-2pm,Year-round,YR,N,N,N,Y,40.65487,-73.96188,"(40.65487, -73.96188)"
Kings,Seeds in the Middle Farm Stand-Wyckoff,Wyckoff Street between Bond and Hoyt Streets,Wyckoff Street between Bond and Hoyt Streets,Brooklyn,NY,11217,Nancie Katz,9176973745,http://seedsinthemiddle.org,Saturday 10am-2pm,Year-round,YR,N,N,N,Y,40.68523,-73.98871,"(40.68523, -73.98871)"
